timestamp,open,high,low,close,volume,quote_volume
2026-05-10 10:00:00,651.78,652.08,650.16,650.8,5222.42,3399273.1116
2026-05-10 10:30:00,650.81,651.5,650.66,651.32,2174.12,1415426.9829
2026-05-10 11:00:00,651.32,651.88,647.88,649.86,8060.19,5235898.8387
2026-05-10 11:30:00,649.86,650.2,648.83,649.95,5444.51,3535730.7953
2026-05-10 12:00:00,649.95,649.97,649.01,649.49,3322.42,2157860.6187
2026-05-10 12:30:00,649.49,650.05,648.66,650.03,3263.88,2119565.1487
2026-05-10 13:00:00,650.02,651.81,649.66,651.26,4444.25,2892302.7665
2026-05-10 13:30:00,651.26,651.97,650.91,651.49,3824.63,2491324.6151
2026-05-10 14:00:00,651.5,652.14,650.65,651.75,7309.62,4762455.3273
2026-05-10 14:30:00,651.76,652.98,650.39,652.13,7529.14,4908225.0838
2026-05-10 15:00:00,652.14,654.24,652.14,653.96,9256.61,6046893.0357
2026-05-10 15:30:00,653.97,656.7,653.94,655.92,15254.19,10000673.3299
2026-05-10 16:00:00,655.93,656.88,654.63,655.91,11956.95,7843288.0669
2026-05-10 16:30:00,655.92,658.05,655.64,657.47,9776.07,6423717.5774
2026-05-10 17:00:00,657.48,659.92,656.59,659.85,13693.02,9010600.5319
2026-05-10 17:30:00,659.85,661.57,658.81,661.03,14164.72,9352090.5098
2026-05-10 18:00:00,661.03,662.54,659.74,661.96,11337.45,7494804.4
2026-05-10 18:30:00,661.97,662.52,660.35,661.06,6754.57,4467789.7018
2026-05-10 19:00:00,661.06,662.94,659.2,662.45,8318.9,5499210.0727
2026-05-10 19:30:00,662.45,662.74,661.06,661.62,6686.41,4425974.7869
2026-05-10 20:00:00,661.61,663.26,658.57,659.06,13790.02,9111651.1211
2026-05-10 20:30:00,659.05,659.06,648.87,651.94,35205.93,22996139.4772
2026-05-10 21:00:00,651.93,654.06,651.08,654.06,13666.54,8916715.9789
2026-05-10 21:30:00,654.05,655.14,652.8,652.81,6824.13,4463576.3018
2026-05-10 22:00:00,652.81,667.16,652.09,665.47,75589.46,49921988.5602
2026-05-10 22:30:00,665.47,666.91,663.92,666.25,20239.71,13467913.6693
2026-05-10 23:00:00,666.25,667.26,664.22,665.22,13525.01,9005638.4963
2026-05-10 23:30:00,665.22,667.19,663.63,664.13,8286.22,5514742.5146
2026-05-11 00:00:00,664.13,665.34,659.46,661.09,21704.43,14370552.8261
2026-05-11 00:30:00,661.1,663.14,656.85,658.21,18224.23,12019953.9739
2026-05-11 01:00:00,658.2,660.85,656.23,660.3,12286.65,8091109.6295
2026-05-11 01:30:00,660.29,660.76,656.0,657.45,21747.41,14297477.6894
2026-05-11 02:00:00,657.45,658.31,654.65,655.43,10481.81,6877846.3643
2026-05-11 02:30:00,655.43,656.23,654.27,655.64,6903.1,4521895.526
2026-05-11 03:00:00,655.64,655.66,651.27,651.81,18482.71,12064848.0637
2026-05-11 03:30:00,651.8,653.0,650.32,651.98,12189.32,7942114.6982
2026-05-11 04:00:00,651.98,653.09,650.89,652.61,8704.24,5672979.3216
2026-05-11 04:30:00,652.61,653.56,651.8,652.22,7419.54,4843972.1864
2026-05-11 05:00:00,652.22,653.84,651.22,653.84,8430.32,5499523.5292
2026-05-11 05:30:00,653.84,654.14,652.94,653.26,5061.12,3307618.4218
2026-05-11 06:00:00,653.26,654.46,652.98,654.17,5456.95,3567587.0213
2026-05-11 06:30:00,654.16,654.4,651.01,651.79,8325.23,5429602.3728
2026-05-11 07:00:00,651.8,651.87,650.5,650.5,4587.19,2987274.536
2026-05-11 07:30:00,650.5,651.38,650.32,651.0,4054.85,2639235.9049
2026-05-11 08:00:00,651.0,651.71,649.69,650.01,8985.2,5845349.1916
2026-05-11 08:30:00,650.0,652.26,649.85,651.31,4776.14,3110973.6912
2026-05-11 09:00:00,651.32,653.62,651.21,652.56,15177.08,9902558.1477
2026-05-11 09:30:00,652.56,653.39,652.04,653.25,4319.22,2819734.2041
2026-05-11 10:00:00,653.25,654.96,653.05,654.42,7347.52,4804994.1299
2026-05-11 10:30:00,654.43,654.85,653.25,654.11,4464.85,2920182.0893
2026-05-11 11:00:00,654.1,655.74,653.43,655.49,6327.31,4142928.5124
2026-05-11 11:30:00,655.49,656.16,654.93,656.14,5147.56,3375399.2686
2026-05-11 12:00:00,656.14,656.34,654.33,656.12,6633.9,4347791.14
2026-05-11 12:30:00,656.13,656.82,654.42,655.02,7110.01,4661969.9245
2026-05-11 13:00:00,655.03,656.99,654.66,654.75,5135.33,3368009.6233
2026-05-11 13:30:00,654.76,655.14,651.77,654.92,19125.38,12504484.356
2026-05-11 14:00:00,654.93,655.97,653.92,654.1,10822.45,7087753.398
2026-05-11 14:30:00,654.1,656.74,652.15,656.63,21114.14,13816776.9491
2026-05-11 15:00:00,656.62,660.74,656.09,660.43,20108.27,13241309.7398
2026-05-11 15:30:00,660.43,661.96,659.63,661.95,9623.37,6356753.7313
2026-05-11 16:00:00,661.94,663.87,661.16,661.73,16950.75,11228990.704
2026-05-11 16:30:00,661.73,662.52,660.27,662.02,8899.1,5888112.8301
2026-05-11 17:00:00,662.01,662.18,659.75,660.29,7645.96,5050752.909
2026-05-11 17:30:00,660.29,663.53,660.01,662.96,7392.87,4897264.3612
