timestamp,open,high,low,close,volume,quote_volume
2025-11-09 04:30:00,157.31,157.35,156.7,157.23,4244.091,666432.530564
2025-11-09 05:00:00,157.23,157.82,157.13,157.8,5131.8112,808536.537605
2025-11-09 05:30:00,157.8,158.32,157.36,158.11,11673.6184,1845000.114894
2025-11-09 06:00:00,158.11,158.5,157.86,158.4,15577.3348,2463216.730006
2025-11-09 06:30:00,158.4,159.1,158.13,158.26,12252.4306,1940948.727383
2025-11-09 07:00:00,158.26,158.51,157.87,157.96,15167.1761,2399062.931315
2025-11-09 07:30:00,157.96,159.56,157.92,159.29,25458.2765,4052402.042961
2025-11-09 08:00:00,159.29,159.64,158.74,159.08,7024.4662,1117832.529725
2025-11-09 08:30:00,159.08,159.69,158.87,159.46,7903.1256,1258721.413913
2025-11-09 09:00:00,159.46,159.95,158.92,159.06,13651.7857,2178890.754216
2025-11-09 09:30:00,159.06,159.16,158.18,158.28,10456.9843,1658465.550871
2025-11-09 10:00:00,158.28,158.28,157.29,157.71,9920.2509,1565876.369398
2025-11-09 10:30:00,157.71,158.45,157.28,158.44,3885.6498,613513.556728
2025-11-09 11:00:00,158.44,159.47,158.44,159.08,8733.9332,1389463.159883
2025-11-09 11:30:00,159.08,159.29,158.68,159.06,21433.0755,3406683.426015
2025-11-09 12:00:00,159.06,159.88,158.59,159.08,16153.1846,2571145.482924
2025-11-09 12:30:00,159.08,159.55,158.96,159.12,7467.6483,1189471.119401
2025-11-09 13:00:00,159.12,159.95,159.02,159.79,10442.7324,1666767.818112
2025-11-09 13:30:00,159.79,160.52,159.44,160.08,14206.1796,2274425.816893
2025-11-09 14:00:00,160.08,162.41,159.28,162.37,34273.5073,5506490.680123
2025-11-09 14:30:00,162.37,163.09,159.84,160.17,71493.1084,11545159.600958
2025-11-09 15:00:00,160.17,162.89,159.79,162.86,35856.9455,5793891.82041
2025-11-09 15:30:00,162.86,163.96,162.28,162.53,61197.5314,9990677.41822
2025-11-09 16:00:00,162.53,162.88,161.79,162.29,17248.4674,2798903.729361
2025-11-09 16:30:00,162.29,163.19,162.12,162.93,26897.741,4374174.784862
2025-11-09 17:00:00,162.93,163.03,161.43,161.69,20149.0271,3266137.149634
2025-11-09 17:30:00,161.69,162.04,161.24,161.82,18485.295,2988768.848727
2025-11-09 18:00:00,161.82,162.03,161.36,161.56,10781.9103,1742469.810746
