timestamp,binance_open,binance_high,binance_low,binance_close,binance_volume,binance_quote_volume,kucoin_open,kucoin_high,kucoin_low,kucoin_close,kucoin_volume,binance_funding_rate,kucoin_funding_rate,spread_pct,funding_spread
2025-12-27 12:00:00,87433.6,87461.9,87377.9,87453.2,562.51,49179985.3029,87434.0,87467.4,87372.8,87454.8,151.847,7.955e-05,6.103e-05,0.0018295499764512,1.852e-05
2025-12-27 12:30:00,87453.2,87489.9,87411.2,87431.9,247.406,21635190.5341,87454.8,87482.0,87409.8,87435.0,131.701,7.955e-05,6.103e-05,0.0035456166456474363,1.852e-05
2025-12-27 13:00:00,87432.0,87440.0,87349.6,87358.6,687.414,60069208.1637,87435.0,87441.7,87357.1,87365.4,183.129,7.955e-05,6.103e-05,0.007784007527579836,1.852e-05
2025-12-27 13:30:00,87358.6,87444.4,87264.8,87410.7,772.408,67480334.4471,87365.4,87448.3,87268.2,87409.1,281.455,7.955e-05,6.103e-05,0.0018304730285419583,1.852e-05
2025-12-27 14:00:00,87410.6,87425.7,87354.4,87387.3,524.131,45808227.4058,87409.1,87423.2,87360.0,87380.4,155.28,7.955e-05,6.103e-05,0.007896507683655294,1.852e-05
2025-12-27 14:30:00,87387.2,87517.8,87382.8,87500.7,720.673,63035147.5496,87380.4,87513.8,87377.0,87492.5,238.548,7.955e-05,6.103e-05,0.009372231905588582,1.852e-05
2025-12-27 15:00:00,87500.7,87514.9,87420.5,87492.9,503.887,44077529.1743,87492.5,87521.0,87441.2,87498.6,258.549,7.955e-05,6.103e-05,0.006514814344948724,1.852e-05
2025-12-27 15:30:00,87492.9,87555.0,87492.9,87516.2,496.619,43469352.731,87498.6,87558.0,87484.4,87518.4,208.837,7.955e-05,6.103e-05,0.0025138202984099967,1.852e-05
2025-12-27 16:00:00,87516.3,87545.6,87397.5,87428.5,515.177,45061132.7243,87518.4,87550.6,87400.0,87440.0,234.193,7.955e-05,6.103e-05,0.013153605517651566,1.852e-05
2025-12-27 16:30:00,87428.5,87533.5,87428.5,87454.1,420.786,36810286.9642,87440.0,87530.0,87440.0,87462.8,258.362,7.955e-05,6.103e-05,0.009948075619092861,1.852e-05
